PARKING_ID,RECORD_DATE,RECORD_STATUS,PARKING_STATUS,FROM_DATE,TO_DATE,CITY_OWNED,DDP_BLOCKNUM,SUBMARKET,NUMBER_OF_SPACES,LOT_OPERATOR,ENTER_OFF_STREETS,MONTHLY_RATE,DAILY_RATE,BIZ_FILE_NUM,PARKING_TYPE,GLOBALID,SHAPE_Length,SHAPE_Area
195,,362,,,,No,0, ,,REPUBLIC PARKING SYSTEM,20th/Logan,-9999.0,-9999.0,1058447,Surface Parking,{885C3BB7-772E-4BE2-A140-F42D579B5D48},0.00343184692128,6.12924650149e-07
126,,363,,,,No,0, ,, , ,-9999.0,-9999.0,990226,Surface Parking,{40763BEE-35E7-4616-95EE-EA4344163B03},0.000769922937911,3.52701690927e-08
128,,364,,,,No,0, ,, , ,-9999.0,-9999.0,990317,Surface Parking,{9181CBA8-8D93-403E-98CA-D94AE14D77AD},0.00778442296555,3.46134235141e-06
53,,365,,,,No,0, ,,AMBASSADOR PARKING MANAGEMENT, ,-9999.0,-9999.0,1059423,Surface Parking,{EA0DE313-C026-47C0-902D-1E75C86D10C2},0.00266680352264,3.36266436485e-07
54,,366,,,,No,0, ,, , ,-9999.0,-9999.0,990227,Surface Parking,{A63E7635-CE53-4A66-B9C8-00941297063E},0.00217367003934,2.65696055105e-07
66,,367,,,,No,17,LoDo,,COLORADO HOUSING AND FINANCE AUTHORITY, ,-9999.0,-9999.0,66863,Surface Parking,{4AA10852-B691-494F-BE3B-E93E89FBC89A},0.00162466123859,1.16177605806e-07
79,,368,,,,No,1,LoDo,,ALPHA PARK, ,-9999.0,-9999.0,1053307,Surface Parking,{B8160762-0D81-4064-A74F-08DC47479637},0.00335726897505,6.59125664835e-07
82,,369,,,,No,56,Ballpark,,STANDARD  PARKING,22nd/Arapahoe,-9999.0,-9999.0,1053254,Surface Parking,{EE9A9214-ED4C-43A4-A9A0-ABCB11DB4860},0.00116789277825,6.99767893222e-08
102,,370,,,,No,0, ,,ELOY MARTINEZ FAMILY TRUST, ,-9999.0,-9999.0,38616,Surface Parking,{8D0129F9-D365-4740-AC43-30658DA7A975},0.00145172180996,1.2457116955e-07
122,,371,,,,No,75,Ballpark,,ARAPAHOE SQUARE PARKING, ,-9999.0,-9999.0,47505,Surface Parking,{A345644E-8D27-4C67-9B1F-214ACFBF99D6},0.00128253049314,7.33972260691e-08
125,,372,,,,No,0, ,,ELOY MARTINEZ FAMILY TRUST, ,-9999.0,-9999.0,1059298,Surface Parking,{C1D00C89-073F-4D50-B694-9390289628D6},0.00240830180329,3.10927490892e-07
151,,373,,,,No,0, ,,CALIFORNIA WELTON LTD, ,-9999.0,-9999.0,1054390,Surface Parking,{765F5E26-8E1C-4739-A915-994BF9A4BB7D},0.00242890378414,3.1788289835e-07
161,,374,,,,No,0, ,,DPW PARKING,21st,-9999.0,-9999.0,1052021,Surface Parking,{BD7F1731-94AE-4F1D-962B-474563A524D8},0.00440471383244,1.12020780567e-06
162,,375,,,,No,0, ,,ELITCH GARDENS, ,-9999.0,-9999.0,1053349,Surface Parking,{45209CB9-661F-4625-923F-C396188A5DF7},0.00659217726043,2.02878139085e-06
171,,376,,,,No,0, ,,DPW PARKING,Glenarm,-9999.0,-9999.0,1052022,Surface Parking,{9918D299-7E73-40EA-8826-7CE1E8E99CE5},0.00131347201639,9.59734864987e-08
194,,377,,,,No,94, ,,AMPCO SYSTEM PARKING #6902, ,-9999.0,-9999.0,1051712,Surface Parking,{E683CCC4-8BB5-4687-B7A1-7BBB2A9F40AF},0.00357455714457,6.04616281322e-07
182,,378,,,,No,71B,17th/Office,48,CENTRAL PARKING SYSTEM,Champa/18th,-9999.0,9.0,1055438,Surface Parking,{A60B990B-E6F7-4231-9449-784A62D541EA},0.00168365604415,1.6358272908e-07
186,,379,,,,No,79B,17th/Office,51,Central-Allright Moss Lot,Stout/17th,-9999.0,9.0,54143,Surface Parking,{1EED1EF7-DA22-4F44-B84E-47DCEBCBF145},0.0015287925861,1.39234358818e-07
187,,380,,,,No,130,17th/Office,60,Central Allright Amcant-DANIEL GARZA PARKING,20th Ave./Sherman,75.0,2.0,1054878,Surface Parking,{BDD4B273-AEC4-4C89-914E-F1AC4F40796D},0.00354137179832,5.00576773957e-07
189,,381,,,,No,105C,17th/Office,69,CALEDONIAN DEVELOPMENT,Glenarm/20th,75.0,2.0,1035769,Surface Parking,{A027C0EE-848A-4B90-9920-2F80EA49AE97},0.00149195172996,1.30786647145e-07
190,,382,,,,No,104,17th/Office,87,Best Park,Broadway/20th,-9999.0,6.0,990228,Surface Parking,{33E4DFBF-6F5E-444F-83CB-91279EC6FC2C},0.00208821416101,2.26192656717e-07
192,,383,,,,No,28C,LoDo,53,Republic Parking,14th/Market,-9999.0,6.0,990229,Surface Parking,{5BB69801-C8E3-46A4-8E4C-C16135280AA9},0.000841330180541,4.16677477021e-08
193,,384,,,,Yes,B,LoDo,88,Republic Parking-RPS OF DENVER,Market/Speer,125.0,6.0,96750,Surface Parking,{CF6BF0DA-5FAD-44D8-9A87-872149508DC1},0.00254357535242,2.82149848503e-07
442,,385,,,,Yes,28B,LoDo,57,Republic Parking,14th/Market,-9999.0,5.0,1037999,Surface Parking,{4377B469-F654-4A2E-AA3E-1BA6CF13B409},0.000944830364866,5.38094490445e-08
199,,386,,,,No,124,17th/Office,412,Central-Allright Avis Lot,Lincoln/19th Ave.,125.0,5.0,1058018,Surface Parking,{6DA7F02A-E555-45F1-A42E-0E7F7829A7C8},0.00429339260007,1.16434903707e-06
200,,387,,,,No,129B,17th/Office,29,Ampco 6870-DPW PARKING,Sherman/19th Ave.,-9999.0,3.0,1052023,Surface Parking,{8F2C256A-D3EB-468C-94FD-9E5CAF9D7B20},0.00125356244499,7.59413562318e-08
196,,388,,,,No,129A,17th/Office,100,Interpark-CENTRAL PARKING SYSTEM-LINCOLN PARKING,14th Ave./Lincoln,90.0,4.0,1055897,Surface Parking,{34F51B9F-8E8B-45CC-9692-278E90B55B71},0.00226626754811,3.09587408243e-07
201,,389,,,,No,49,Convention,337,1415 LAWRENCE ARAPAHOE-FOUR SEASONS HOTEL DENVER,15th/Arapahoe,-9999.0,7.0,1048218,Surface Parking,{802099B2-812D-424C-A735-28EC606813A8},0.00339172068563,6.99343279346e-07
202,,390,,,,No,39,Convention,82,ALLRIGHT LOT #507,Lawrence/14th,-9999.0,8.0,10444,Surface Parking,{7FDFDC88-207E-46F2-8DFC-700123DA4356},0.00163613331912,1.59914646024e-07
443,,391,,,,No,28A,LoDo,86,Park & Pay,14th/Market,75.0,4.0,990230,Surface Parking,{953154CE-17F2-4665-BF33-23B00BA5A579},0.00126584161175,8.87302352531e-08
205,,392,,,,No,70B,17th/Office,26,CENTRAL PARKING,Champa/17th,-9999.0,15.0,1041268,Surface Parking,{5F7EC6B4-E985-498D-93BF-64ED3985F282},0.00155133429697,1.3911353133e-07
207,,393,,,,No,38B,Convention,48, ,Lawrence/13th,-9999.0,5.0,990231,Surface Parking,{858D4A68-E688-48AD-8924-8B2C071A137E},0.000749820694764,3.31285142807e-08
209,,394,,,,No,129C,17th/Office,77,"Ampco 6836-CENTRAL PARKING SYSTEM, INC",20th Ave./Sherman,80.0,3.0,1055423,Surface Parking,{49A39DD3-50D6-44F2-AAA6-2F80B7CD4F70},0.00176777997292,1.93419018975e-07
210,,395,,,,No,103A,17th/Office,115,ALLRIGHT LOT #612,Broadway/Welton,120.0,-9999.0,10436,Surface Parking,{DBFD06CA-B64E-48AB-8DC5-5A6B0E8245B3},0.00306025475172,4.25881385728e-07
213,,396,,,,No,103B,17th/Office,104,Central-Allright 612 Lot,Welton/18th,130.0,6.0,1055443,Surface Parking,{28893BF5-EAC9-4A33-A84E-C095045AD203},0.00254095965401,3.27411899658e-07
214,,397,,,,Yes,C,Convention,47,Republic Parking Lot 3,Larimer/Speer,-9999.0,6.0,1058523,Surface Parking,{C94BF3E5-D755-4B09-A515-24DF4977A559},0.00171129575629,1.82717507879e-07
216,,398,,,,No,69,Convention,60,RUIZ'S PARKING LOT #25,15th/Champa,-9999.0,7.0,8260,Surface Parking,{D3E6A10D-5583-477F-8AFB-8D830B6605F4},0.0017662382518,1.55453134622e-07
218,,399,,,,No,123C,17th/Office,99,Ampco System (Lot 88B),Lincoln/18th Ave.,-9999.0,7.0,1038365,Surface Parking,{76070ACB-9230-468B-AE3D-5660903750D3},0.00164745122964,1.63423412416e-07
221,,400,,,,No,92A,17th/Office,50,All Right Parking-UNIVERSAL PARKING,Welton/16th,-9999.0,9.0,55408,Surface Parking,{19AEDE67-F5F2-490A-9CC8-93D40B6FFC10},0.00159484745734,1.5273140747e-07
222,,401,,,,No,134,17th/Office,200,Interpark-REPUBLIC PARKING SYSTEM,Sherman/18th,90.0,5.0,1038019,Surface Parking,{8E19EC21-255A-46B4-AF6A-047322BE55F1},0.00350899977825,5.88717896219e-07
223,,402,,,,No,123B,17th/Office,76,AMPCO SYSTEM PARKING #6888C,Lincoln/18th Ave.,-9999.0,6.0,1038365,Surface Parking,{D5ACEAC4-C6F8-42A3-A6EF-6637F14A4548},0.00146494719389,1.13251290652e-07
225,,403,,,,No,134,17th/Office,200,Interpark,Sherman/18th,90.0,5.0,990255,Surface Parking,{CF426378-6EEE-49BE-9A1C-35E8DA603D6D},0.00133653224879,8.59938162727e-08
226,,404,,,,No,92C,17th/Office,29,Central-Allright Temple Lot,17th/Welton,-9999.0,7.5,990208,Surface Parking,{9AA6E9D1-002C-4FCA-87F6-7B0CAEDD3538},0.00131122592133,9.29468613987e-08
228,,405,,,,No,111B,17th/Office,85,Central-Allright Brandy Lot,Glenarm/17th,150.0,8.0,990209,Surface Parking,{220465F9-3660-4503-85B3-1C4646A782D8},0.00195852692294,2.4292141142e-07
229,,406,,,,No,77,Convention,66,ALLRIGHT LOT #202,15th/Stout,120.0,5.0,10362,Surface Parking,{DC129DBF-A21C-4B6A-8DA2-40E6F853BF46},0.00186391776529,2.10939387477e-07
